age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
37,admin.,divorced,secondary,no,3834,yes,no,unknown,21,may,72,1,-1,0,unknown
80,retired,divorced,primary,no,235,no,no,cellular,31,mar,577,1,223,3,other
40,management,single,tertiary,no,269,yes,no,cellular,15,may,11,8,-1,0,unknown
43,management,married,tertiary,no,8016,yes,no,unknown,15,may,422,3,-1,0,unknown
31,technician,single,secondary,no,159,no,no,cellular,20,aug,129,1,-1,0,unknown
46,blue-collar,single,primary,no,87,no,no,unknown,15,may,78,1,-1,0,unknown
46,services,divorced,primary,no,3854,yes,no,cellular,17,apr,541,2,150,4,other
30,blue-collar,married,secondary,no,975,yes,no,cellular,13,may,256,2,351,2,failure
50,services,single,primary,no,148,yes,no,unknown,7,may,198,2,-1,0,unknown
59,retired,married,secondary,no,0,no,no,unknown,5,jun,812,1,-1,0,unknown
36,blue-collar,single,secondary,no,0,yes,no,cellular,5,feb,569,2,-1,0,unknown
34,admin.,single,secondary,no,1352,yes,no,cellular,20,apr,126,1,334,3,other
42,management,married,tertiary,no,1680,yes,no,unknown,6,may,765,1,-1,0,unknown
30,self-employed,married,secondary,no,131,yes,no,unknown,8,may,306,1,-1,0,unknown
45,technician,married,secondary,no,-312,yes,no,cellular,16,jul,268,1,-1,0,unknown
28,technician,single,secondary,no,598,yes,no,cellular,2,mar,177,1,288,2,failure
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown
48,admin.,divorced,secondary,no,132,yes,no,unknown,30,may,171,1,-1,0,unknown
33,management,married,tertiary,no,641,yes,no,cellular,13,aug,347,2,-1,0,unknown
31,blue-collar,married,primary,no,746,yes,yes,unknown,3,jun,25,1,-1,0,unknown
26,services,married,secondary,no,33,yes,no,unknown,28,may,51,4,-1,0,unknown
41,blue-collar,married,secondary,no,-940,yes,yes,cellular,6,may,206,2,-1,0,unknown
38,blue-collar,married,secondary,no,361,yes,no,unknown,11,jun,601,1,-1,0,unknown
50,management,single,tertiary,no,490,no,no,cellular,14,aug,273,5,-1,0,unknown
39,entrepreneur,married,tertiary,no,2310,yes,yes,unknown,18,jun,104,1,-1,0,unknown
39,management,married,tertiary,no,3,yes,no,cellular,18,nov,341,1,-1,0,unknown
43,management,married,tertiary,no,0,no,no,cellular,21,aug,127,3,-1,0,unknown
28,admin.,single,tertiary,no,4,no,no,unknown,4,jun,148,11,-1,0,unknown
46,entrepreneur,married,primary,no,1757,yes,no,unknown,30,may,396,3,-1,0,unknown
34,management,married,tertiary,no,136,yes,no,cellular,22,apr,156,1,-1,0,unknown
46,blue-collar,married,secondary,no,2944,no,no,unknown,20,jun,20,5,-1,0,unknown
35,blue-collar,married,secondary,no,2432,yes,no,cellular,14,may,196,2,-1,0,unknown
42,blue-collar,single,primary,no,-376,yes,no,cellular,18,may,53,1,-1,0,unknown
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,-1,0,unknown
42,admin.,married,secondary,no,281,yes,no,unknown,15,may,118,1,-1,0,unknown
29,blue-collar,single,secondary,no,735,yes,no,unknown,4,jun,130,3,-1,0,unknown
53,retired,married,secondary,no,665,yes,no,cellular,22,apr,371,2,-1,0,unknown
30,blue-collar,married,secondary,no,321,yes,no,cellular,20,nov,738,2,-1,0,unknown
26,blue-collar,single,secondary,no,5,no,no,telephone,8,jul,54,3,-1,0,unknown
35,admin.,single,tertiary,no,170,no,no,unknown,12,jul,12,1,-1,0,unknown
80,retired,married,primary,no,1861,no,no,telephone,14,apr,563,2,-1,0,unknown
70,retired,married,primary,no,7781,no,no,cellular,3,jul,222,1,-1,0,unknown
